ID,Error grading project,The number of steps Fred takes is changed to 100.,"Fred the user tells the user to ""Have fun!""",The wait time between costume changes is increased
115H1,0,1,1,1
115H10,0,0,0,0
115H11,0,0,0,0
115H12,0,1,1,0
115H13,0,0,0,0
115H14,0,0,0,0
115H15,0,0,0,0
115H16,0,1,1,0
115H17,0,1,0,1
115H18,0,1,1,1
115H19,0,0,0,0
115H2,0,1,0,0
115H20,0,1,1,0
115H21,0,1,1,1
115H22,0,0,0,0
115H23,0,1,0,1
115H24,0,0,0,0
115H25,0,0,1,0
115H26,0,1,1,1
115H27,0,0,0,0
115H28,0,0,0,0
115H3,0,1,1,0
115H4,0,0,0,0
115H5,0,1,1,1
115H6,0,0,0,0
115H7,0,0,1,0
115H8,0,1,1,1
115H9,0,1,1,1
msboyd114,0,0,0,0
